Period,Sales,Quantity
2014-01-01,6242.525000000001,70
2014-02-01,1839.658,23
2014-03-01,14573.956,131
2014-04-01,7944.8369999999995,81
2014-05-01,6912.787,97
2014-06-01,13206.1256,122
2014-07-01,10821.051,114
2014-08-01,7320.3465,107
2014-09-01,23816.4808,208
2014-10-01,12304.247,130
2014-11-01,21564.8727,228
2014-12-01,30645.9665,312
2015-01-01,11739.9416,88
2015-02-01,3134.374,45
2015-03-01,12499.783,111
2015-04-01,10475.6985,107
2015-05-01,9374.950499999999,126
2015-06-01,7714.179,112
2015-07-01,13674.42,162
2015-08-01,9638.5922,112
2015-09-01,26273.023,205
2015-10-01,12026.6235,140
2015-11-01,30880.8325,310
2015-12-01,23085.8192,257
2016-01-01,7622.743,101
2016-02-01,3925.551,69
2016-03-01,12801.092,162
2016-04-01,13212.09,146
2016-05-01,15119.835000000001,181
2016-06-01,13070.572,128
2016-07-01,13068.519,159
2016-08-01,12483.2323,115
2016-09-01,27262.8809,284
